"","fov","cell_ID","x_global_px","y_global_px","x_local_px","y_local_px","z","target","CellComp"
"424",2,358,10025.3412000868,140073.398390028,2819.78564453125,3317.84283447266,-1,"S100A6","Nuclear"
"425",2,358,10040.0953504774,140070.155561659,2834.53979492188,3314.60000610352,-1,"SOX4","Nuclear"
"426",2,358,10027.3055555556,140073.822218153,2821.75,3318.26666259766,-1,"CALM2","Nuclear"
"427",2,358,10051.5055067274,140083.822218153,2845.94995117188,3328.26666259766,-1,"TYK2","Nuclear"
"428",2,358,10026.9056532118,140078.818037245,2821.35009765625,3323.26248168945,-1,"HSP90AA1","Nuclear"
"429",2,358,10039.9696180556,140078.012678358,2834.4140625,3322.45712280273,-1,"STAT6","Nuclear"
"430",2,358,10035.8055555556,140088.543043349,2830.25,3332.98748779297,-1,"STMN1","Nuclear"
"431",2,358,10021.4156629774,140086.87556288,2815.86010742188,3331.32000732422,-1,"GSTP1","Nuclear"
"432",2,358,10011.9554578993,140089.905561659,2806.39990234375,3334.35000610352,-1,"H4C3","Nuclear"
"433",2,358,10010.7699110243,140064.269849989,2805.21435546875,3308.71429443359,-1,"PTGDR2","Nuclear"
"434",2,358,10053.2157118056,140088.035566542,2847.66015625,3332.48001098633,5,"TGFB3","Membrane"
"435",2,358,10043.2413465712,140083.512678358,2837.68579101562,3327.95712280273,5,"RPL21","Nuclear"
"436",2,358,10040.5443250868,140095.777784559,2834.98876953125,3340.22222900391,5,"CXCL12","Nuclear"
"437",2,358,10001.2679578993,140067.730543349,2795.71240234375,3312.17498779297,5,"H4C3","Nuclear"
"438",2,358,10055.4054090712,140095.130567763,2849.84985351562,3339.57501220703,5,"S100A6","Cytoplasm"
"439",2,358,10053.9386121962,140087.622205946,2848.38305664062,3332.06665039062,5,"MZT2A","Membrane"
"440",2,358,10002.8556043837,140099.305555556,2797.30004882812,3343.75,5,"CD33","Cytoplasm"
"441",2,358,10045.1356336806,140094.735548231,2839.580078125,3339.17999267578,5,"IGF2R","Nuclear"
"442",2,358,10019.8807508681,140098.605543349,2814.3251953125,3343.04998779297,3,"SMAD2","Nuclear"
"443",2,358,10050.3111707899,140098.255537245,2844.75561523438,3342.69998168945,3,"ADIPOQ","Membrane"
"444",2,358,10051.6554090712,140095.526991102,2846.09985351562,3339.97143554688,3,"STMN1","Membrane"
"445",2,358,10038.7057020399,140092.093061659,2833.15014648438,3336.53750610352,3,"MIF","Nuclear"
"446",2,358,10003.0387098524,140073.730573866,2797.48315429688,3318.17501831055,3,"SMARCB1","Nuclear"
"447",2,358,10037.6334364149,140093.377760145,2832.07788085938,3337.82220458984,3,"PTTG1","Nuclear"
"448",2,358,10001.1803114149,140073.605573866,2795.62475585938,3318.05001831055,3,"RPL21","Nuclear"
"449",2,358,10061.4391004774,140090.872205946,2855.88354492188,3335.31665039062,3,"SEC61G","Cytoplasm"
"450",2,358,10057.3753797743,140087.345533583,2851.81982421875,3331.78997802734,3,"HLA-B","Membrane"
"451",2,358,10040.6219618056,140089.572218153,2835.06640625,3334.01666259766,3,"RPL32","Nuclear"
"452",2,358,10012.1556532118,140055.930555556,2806.60009765625,3300.375,3,"RPL37","Nuclear"
"453",2,358,10003.9156629774,140082.135542128,2798.36010742188,3326.57998657227,3,"H2AZ1","Nuclear"
"454",2,358,10060.9557020399,140095.005567763,2855.40014648438,3339.45001220703,3,"HSP90AA1","Cytoplasm"
"455",2,358,10058.6666395399,140094.133344862,2853.11108398438,3338.57778930664,3,"SOD1","Cytoplasm"
"456",2,358,10059.0555555556,140088.698408339,2853.5,3333.1428527832,3,"RAC1","Cytoplasm"
"457",2,358,10003.6053602431,140082.83057997,2798.0498046875,3327.27502441406,3,"H2AZ1","Nuclear"
"458",2,358,10018.1270887587,140051.34129164,2812.57153320312,3295.78573608398,3,"NCR1","Nuclear"
"459",2,358,10052.2057020399,140084.27223036,2846.65014648438,3328.71667480469,3,"CD44","Nuclear"
"460",2,358,10038.4779188368,140069.166700575,2832.92236328125,3313.61114501953,3,"IL12A","Nuclear"
"461",2,358,10046.5680067274,140093.980573866,2841.01245117188,3338.42501831055,3,"GSTP1","Nuclear"
"462",2,358,10028.2303602431,140069.055555556,2822.6748046875,3313.5,3,"RELA","Nuclear"
"463",2,358,10050.8182508681,140091.643049452,2845.2626953125,3336.08749389648,2,"TNFRSF14","Nuclear"
"464",2,358,10043.4430067274,140087.593061659,2837.88745117188,3332.03750610352,2,"HSPA1B","Nuclear"
"465",2,358,10052.3953993056,140098.425550673,2846.83984375,3342.86999511719,2,"LGALS1","Membrane"
"466",2,358,10060.8753797743,140094.935560438,2855.31982421875,3339.38000488281,2,"HSP90AA1","Cytoplasm"
"467",2,358,10012.9557020399,140054.055555556,2807.40014648438,3298.5,2,"RPL37","Nuclear"
"468",2,358,10041.6554090712,140073.155531141,2836.09985351562,3317.59997558594,2,"IRF4","Nuclear"
"469",2,358,10011.8055555556,140097.912702772,2806.25,3342.3571472168,2,"KRT7","Nuclear"
"470",2,358,10004.7555067274,140096.95557997,2799.19995117188,3341.40002441406,2,"LGALS1","Cytoplasm"
"471",2,358,10007.6556532118,140092.530561659,2802.10009765625,3336.97500610352,2,"FABP5","Nuclear"
"472",2,358,10040.9984266493,140074.098432753,2835.44287109375,3318.54287719727,2,"IRF4","Nuclear"
